scenario,method,run,selective_rmse,violation_rate,accepted_fraction
In domain,Variance gate,14,0.054894031143164726,0.017899190168265716,0.99
In domain,Full gate,14,0.05377374479330422,0.016221141089990808,0.9773600927637098
In domain,No gate,15,0.04855748506711,0.0417498428472759,1.0
In domain,Variance gate,15,0.0475863353657678,0.04007984913338486,0.99
In domain,Full gate,15,0.0466151856644256,0.03632236327713003,0.9722925224652124
Geometry shift,No gate,1,0.08295457815459045,0.08840547538617105,1.0
Geometry shift,Variance gate,1,0.07548866612067731,0.0760287088321071,0.89
Geometry shift,Full gate,1,0.06221593361594284,0.04862301146239408,0.803414497523543
Geometry shift,No gate,2,0.08952753144372959,0.07859039425829974,1.0
Geometry shift,Variance gate,2,0.08147005361379393,0.06758773906213777,0.89
Geometry shift,Full gate,2,0.06714564858279719,0.04322471684206486,0.7735883299379305
Geometry shift,No gate,3,0.0822454561080978,0.06377941069454453,1.0
Geometry shift,Variance gate,3,0.074843365058369,0.054850293197308296,0.89
Geometry shift,Full gate,3,0.06168409208107335,0.03507867588199949,0.7837139727557242
Geometry shift,No gate,4,0.0815611502512124,0.07778845103597473,1.0
Geometry shift,Variance gate,4,0.07422064672860329,0.06689806789093827,0.89
Geometry shift,Full gate,4,0.061170862688409294,0.04278364806978611,0.7486097977434908
Geometry shift,No gate,5,0.0820904873010705,0.0744009969032196,1.0
Geometry shift,Variance gate,5,0.07470234344397417,0.06398485733676886,0.89
Geometry shift,Full gate,5,0.06156786547580288,0.04092054829677078,0.7642094166268764
Geometry shift,No gate,6,0.08462193434332332,0.08417892198393132,1.0
Geometry shift,Variance gate,6,0.07700596025242423,0.07239387290618093,0.89
Geometry shift,Full gate,6,0.06346645075749249,0.04629840709116223,0.7366652940096314
Geometry shift,No gate,7,0.08731131224811231,0.07662638274013116,1.0
Geometry shift,Variance gate,7,0.0794532941457822,0.0658986891565128,0.89
Geometry shift,Full gate,7,0.06548348418608424,0.04214451050707214,0.7617542459858261
Geometry shift,No gate,8,0.09029918793152336,0.0826393174892207,1.0
Geometry shift,Variance gate,8,0.08217226101768627,0.0710698130407298,0.89
Geometry shift,Full gate,8,0.06772439094864252,0.04545162461907139,0.7664889687240337
Geometry shift,No gate,9,0.08103893369688063,0.07013907990188839,1.0
Geometry shift,Variance gate,9,0.07374542966416138,0.060319608715624015,0.89
Geometry shift,Full gate,9,0.06077920027266047,0.03857649394603862,0.7401521490482863
Geometry shift,No gate,10,0.08964537798872452,0.08305349264684711,1.0
Geometry shift,Variance gate,10,0.08157729396973931,0.07142600367628851,0.89
Geometry shift,Full gate,10,0.06723403349154339,0.045679420955765916,0.7604299998100448
Geometry shift,No gate,11,0.10002220279442713,0.06660341669843692,1.0
Geometry shift,Variance gate,11,0.09102020454292868,0.05727893836065575,0.89
Geometry shift,Full gate,11,0.07501665209582034,0.036631879184140306,0.7737372745091857
Geometry shift,No gate,12,0.08055147993034173,0.06885980564720622,1.0
Geometry shift,Variance gate,12,0.07330184673661097,0.059219432856597344,0.89
Geometry shift,Full gate,12,0.0604136099477563,0.03787289310596342,0.7683394680009933
Geometry shift,No gate,13,0.08786430413104449,0.08105264532883522,1.0
Geometry shift,Variance gate,13,0.07995651675925049,0.06970527498279828,0.89
Geometry shift,Full gate,13,0.06589822809828336,0.04457895493085937,0.7256857477451591
Geometry shift,No gate,14,0.0745413795103569,0.09208552632909502,1.0
Geometry shift,Variance gate,14,0.06783265535442479,0.0791935526430217,0.89
Geometry shift,Full gate,14,0.05590603463276768,0.050647039481002264,0.8331236196090596
Geometry shift,No gate,15,0.08247181804092063,0.08290406392893114,1.0
Geometry shift,Variance gate,15,0.07504935441723777,0.07129749497888078,0.89
Geometry shift,Full gate,15,0.06185386353069047,0.04559723516091213,0.7669034633686547
Stimulus shift,No gate,1,0.09944497471234831,0.10279680824488882,1.0
Stimulus shift,Variance gate,1,0.09049492698823697,0.08840525509060439,0.82
Stimulus shift,Full gate,1,0.07259483154001427,0.05345434028734219,0.6882395078280358
Stimulus shift,No gate,2,0.09735600994166509,0.08463458170892928,1.0
Stimulus shift,Variance gate,2,0.08859396904691523,0.07278574026967918,0.82
Stimulus shift,Full gate,2,0.07106988725741552,0.044009982488643226,0.710040143114917
Stimulus shift,No gate,3,0.09794955479826456,0.08764865777684565,1.0
Stimulus shift,Variance gate,3,0.08913409486642075,0.07537784568808725,0.82
Stimulus shift,Full gate,3,0.07150317500273312,0.04557730204395974,0.7294139761682569
Stimulus shift,No gate,4,0.08752141056021347,0.07349669969528685,1.0
Stimulus shift,Variance gate,4,0.07964448360979426,0.06320716173794669,0.82
Stimulus shift,Full gate,4,0.06389062970895583,0.03821828384154916,0.6854125681217383
Stimulus shift,No gate,5,0.09643829354934212,0.08894249159683493,1.0
Stimulus shift,Variance gate,5,0.08775884712990134,0.07649054277327803,0.82
Stimulus shift,Full gate,5,0.07039995429101975,0.04625009563035416,0.7089880202012617
Stimulus shift,No gate,6,0.0937635673876661,0.07676497500843042,1.0
Stimulus shift,Variance gate,6,0.08532484632277615,0.06601787850725016,0.82
Stimulus shift,Full gate,6,0.06844740419299625,0.03991778700438382,0.7099784772748263
Stimulus shift,No gate,7,0.09269381582860724,0.06580175105104383,1.0
Stimulus shift,Variance gate,7,0.08435137240403259,0.05658950590389769,0.82
Stimulus shift,Full gate,7,0.06766648555488328,0.03421691054654279,0.7289614874358634
Stimulus shift,No gate,8,0.09818779519565254,0.07532761511477809,1.0
Stimulus shift,Variance gate,8,0.08935089362804381,0.06478174899870916,0.82
Stimulus shift,Full gate,8,0.07167709049282636,0.03917035985968461,0.6983286531675099
Stimulus shift,No gate,9,0.08610470567322835,0.08965353840200786,1.0
Stimulus shift,Variance gate,9,0.0783552821626378,0.07710204302572676,0.82
Stimulus shift,Full gate,9,0.0628564351414567,0.04661983996904409,0.6935207926965656
Stimulus shift,No gate,10,0.08911606921797009,0.07592092391061958,1.0
Stimulus shift,Variance gate,10,0.08109562298835278,0.06529199456313284,0.82
Stimulus shift,Full gate,10,0.06505473052911817,0.039478880433522184,0.6819704546127096
Stimulus shift,No gate,11,0.10367981439145979,0.09047326899110954,1.0
Stimulus shift,Variance gate,11,0.09434863109622842,0.0778070113323542,0.82
Stimulus shift,Full gate,11,0.07568626450576564,0.04704609987537696,0.6753483853619067
Stimulus shift,No gate,12,0.09161583570869385,0.08786087097331613,1.0
Stimulus shift,Variance gate,12,0.08337041049491141,0.07556034903705187,0.82
Stimulus shift,Full gate,12,0.06687956006734651,0.045687652906124386,0.6920272385080491
Stimulus shift,No gate,13,0.10259090385956289,0.08671655469670134,1.0
Stimulus shift,Variance gate,13,0.09335772251220223,0.07457623703916315,0.82
Stimulus shift,Full gate,13,0.07489135981748091,0.045092608442284694,0.7076538862499978
Stimulus shift,No gate,14,0.09112428428130598,0.10152027739848817,1.0
Stimulus shift,Variance gate,14,0.08292309869598845,0.08730743856269982,0.82
Stimulus shift,Full gate,14,0.06652072752535336,0.05279054424721385,0.6923830267907809
Stimulus shift,No gate,15,0.10360253909424981,0.07646223494680135,1.0
Stimulus shift,Variance gate,15,0.09427831057576733,0.06575752205424916,0.82
Stimulus shift,Full gate,15,0.07562985353880236,0.0397603621723367,0.7061545106450327
Coupled shift,No gate,1,0.12452506095730373,0.1287670875475567,1.0
Coupled shift,Variance gate,1,0.1133178054711464,0.11073969529089876,0.61
Coupled shift,Full gate,1,0.07720553779352832,0.05150683501902268,0.4466023043199732
Coupled shift,No gate,2,0.13526603452730185,0.13428756517048515,1.0
Coupled shift,Variance gate,2,0.12309209141984469,0.11548730604661722,0.61
Coupled shift,Full gate,2,0.08386494140692714,0.05371502606819406,0.5249806713875117
Coupled shift,No gate,3,0.13153767950707917,0.12553964319927138,1.0
Coupled shift,Variance gate,3,0.11969928835144206,0.10796409315137338,0.61
Coupled shift,Full gate,3,0.08155336129438909,0.05021585727970856,0.4776405011096384
Coupled shift,No gate,4,0.12886569593168978,0.11484423469054135,1.0
Coupled shift,Variance gate,4,0.11726778329783771,0.09876604183386556,0.61
Coupled shift,Full gate,4,0.07989673147764767,0.045937693876216545,0.5377663490777693
Coupled shift,No gate,5,0.12753291092062888,0.12181382698843272,1.0
Coupled shift,Variance gate,5,0.11605494893777228,0.10475989121005214,0.61
Coupled shift,Full gate,5,0.0790704047707899,0.04872553079537309,0.5119814273610785
Coupled shift,No gate,6,0.13874363189668742,0.12508333161007754,1.0
Coupled shift,Variance gate,6,0.12625670502598557,0.10757166518466668,0.61
Coupled shift,Full gate,6,0.0860210517759462,0.050033332644031016,0.5018239922743324
Coupled shift,No gate,7,0.12797784865641984,0.1300127619332109,1.0
Coupled shift,Variance gate,7,0.11645984227734206,0.11181097526256137,0.61
Coupled shift,Full gate,7,0.0793462661669803,0.052005104773284364,0.5223828592992401
Coupled shift,No gate,8,0.135044269897994,0.13921393894572048,1.0
Coupled shift,Variance gate,8,0.12289028560717455,0.11972398749331961,0.61
Coupled shift,Full gate,8,0.08372744733675629,0.055685575578288196,0.5151568063997819
Coupled shift,No gate,9,0.129526434820017,0.1293606204008493,1.0
Coupled shift,Variance gate,9,0.11786905568621547,0.1112501335447304,0.61
Coupled shift,Full gate,9,0.08030638958841053,0.05174424816033973,0.48531220142829495
Coupled shift,No gate,10,0.12147620738361264,0.13097741869727716,1.0
Coupled shift,Variance gate,10,0.11054334871908751,0.11264058007965835,0.61
Coupled shift,Full gate,10,0.07531524857783983,0.052390967478910866,0.47837116494227905
Coupled shift,No gate,11,0.12193343658943105,0.12310879360817172,1.0
Coupled shift,Variance gate,11,0.11095942729638227,0.10587356250302768,0.61
Coupled shift,Full gate,11,0.07559873068544726,0.049243517443268686,0.525033337857784
Coupled shift,No gate,12,0.12963817507367598,0.11922698931112648,1.0
Coupled shift,Variance gate,12,0.11797073931704515,0.10253521080756876,0.61
Coupled shift,Full gate,12,0.08037566854567911,0.04769079572445059,0.48894563898763693
Coupled shift,No gate,13,0.1340147601583704,0.1343294922196489,1.0
Coupled shift,Variance gate,13,0.12195343174411707,0.11552336330889805,0.61
Coupled shift,Full gate,13,0.08308915129818965,0.05373179688785956,0.49706209733382983
Coupled shift,No gate,14,0.13540958757456464,0.11145523539753728,1.0
Coupled shift,Variance gate,14,0.12322272469285384,0.09585150244188206,0.61
Coupled shift,Full gate,14,0.08395394429623008,0.044582094159014915,0.4930211612531846
Coupled shift,No gate,15,0.12613253076841988,0.13711178044260006,1.0
Coupled shift,Variance gate,15,0.11478060299926209,0.11791613118063604,0.61
Coupled shift,Full gate,15,0.07820216907642032,0.054844712177040025,0.5066480282659729
