material,target,method,run,coverage,interval_width
Hydrogel,0.9,Raw ensemble,7,0.7902832851344037,0.12075526593914013
Hydrogel,0.9,Calibrated,7,0.9012467846967516,0.14657700438627333
Hydrogel,0.9,Raw ensemble,8,0.7696213395509687,0.1252370073467196
Hydrogel,0.9,Calibrated,8,0.8996596366751518,0.15229265161865974
Hydrogel,0.9,Raw ensemble,9,0.7487028027772317,0.12950427118285615
Hydrogel,0.9,Calibrated,9,0.8880502221642483,0.1635805966713086
Hydrogel,0.9,Raw ensemble,10,0.7748992121614041,0.12989700647789323
Hydrogel,0.9,Calibrated,10,0.8980463699014063,0.1637266059743815
Hydrogel,0.9,Raw ensemble,11,0.7734866482158032,0.12294059716025801
Hydrogel,0.9,Calibrated,11,0.8843437170384805,0.14402606549664398
Hydrogel,0.9,Raw ensemble,12,0.8090540603178871,0.12598769125594306
Hydrogel,0.9,Calibrated,12,0.9043308065125427,0.15596799311235857
Hydrogel,0.9,Raw ensemble,13,0.7873405752639131,0.1263199881155856
Hydrogel,0.9,Calibrated,13,0.8891725242078619,0.1530687882943644
Hydrogel,0.9,Raw ensemble,14,0.7844374784016953,0.12607100923480155
Hydrogel,0.9,Calibrated,14,0.8902205663215693,0.1465508679230024
Hydrogel,0.9,Raw ensemble,15,0.7552207862097753,0.1281361582976732
Hydrogel,0.9,Calibrated,15,0.8861075769149184,0.15142347752223084
Hydrogel,0.95,Raw ensemble,1,0.8240814938967267,0.12906012545283677
Hydrogel,0.95,Calibrated,1,0.9624214559241993,0.16106899219749302
Hydrogel,0.95,Raw ensemble,2,0.8188141168343033,0.1305718299849847
Hydrogel,0.95,Calibrated,2,0.9422447519017166,0.1625164129643987
Hydrogel,0.95,Raw ensemble,3,0.8136688017983547,0.129933551325315
Hydrogel,0.95,Calibrated,3,0.9440223878549527,0.16160667341899387
Hydrogel,0.95,Raw ensemble,4,0.8299543776662445,0.13804024023989464
Hydrogel,0.95,Calibrated,4,0.9571618222339473,0.17712795514467872
Hydrogel,0.95,Raw ensemble,5,0.8746820427304768,0.13824898045861816
Hydrogel,0.95,Calibrated,5,0.9555378633848219,0.16823899638286877
Hydrogel,0.95,Raw ensemble,6,0.8349762285432121,0.1325122266888674
Hydrogel,0.95,Calibrated,6,0.9449726623403755,0.16440163331774293
Hydrogel,0.95,Raw ensemble,7,0.7915307540592729,0.1420733479989484
Hydrogel,0.95,Calibrated,7,0.9507636413165526,0.17044136478034835
Hydrogel,0.95,Raw ensemble,8,0.8442186369528356,0.1365725395410217
Hydrogel,0.95,Calibrated,8,0.930461452359506,0.16864968024497984
Hydrogel,0.95,Raw ensemble,9,0.8396673563792841,0.1296928420483664
Hydrogel,0.95,Calibrated,9,0.9436407339315139,0.15551339575059167
Hydrogel,0.95,Raw ensemble,10,0.8228376330768005,0.13114400774709828
Hydrogel,0.95,Calibrated,10,0.9417514355524597,0.15478275823810003
Hydrogel,0.95,Raw ensemble,11,0.8402907752132702,0.1380286271354345
Hydrogel,0.95,Calibrated,11,0.9459731892929102,0.1726237981493058
Hydrogel,0.95,Raw ensemble,12,0.833950861756986,0.13578379434571256
Hydrogel,0.95,Calibrated,12,0.9607523378016405,0.16919138259330824
Hydrogel,0.95,Raw ensemble,13,0.8312720422952166,0.1308912757373217
Hydrogel,0.95,Calibrated,13,0.9426715541493494,0.16325305136190954
Hydrogel,0.95,Raw ensemble,14,0.8160395706517515,0.1297012644680669
Hydrogel,0.95,Calibrated,14,0.9447831021628347,0.15870250637839559
Hydrogel,0.95,Raw ensemble,15,0.8206006669048926,0.13143940610481944
Hydrogel,0.95,Calibrated,15,0.9439776109485322,0.1572633412670939
DEA,0.8,Raw ensemble,1,0.685990808794358,0.10725245300199289
DEA,0.8,Calibrated,1,0.7982951770086772,0.1315219472995388
DEA,0.8,Raw ensemble,2,0.6703740901993037,0.10800761789947234
DEA,0.8,Calibrated,2,0.8021836088451751,0.13780439949445134
DEA,0.8,Raw ensemble,3,0.7051886213990994,0.11418977511825207
DEA,0.8,Calibrated,3,0.8009695345810686,0.13745920896156283
DEA,0.8,Raw ensemble,4,0.7090882471730287,0.1041930786360798
DEA,0.8,Calibrated,4,0.7890708065774428,0.12789086430524618
DEA,0.8,Raw ensemble,5,0.6675819114412406,0.11850580073537356
DEA,0.8,Calibrated,5,0.8013174149373955,0.14171475697760344
DEA,0.8,Raw ensemble,6,0.6727877280908903,0.11462789152982915
DEA,0.8,Calibrated,6,0.8016913227054498,0.14276460835092566
DEA,0.8,Raw ensemble,7,0.6836564124225502,0.11308564034363858
DEA,0.8,Calibrated,7,0.8092576906771902,0.14312060179353445
DEA,0.8,Raw ensemble,8,0.6849040788009644,0.10764651684022179
DEA,0.8,Calibrated,8,0.8055239083446712,0.13423138398397702
DEA,0.8,Raw ensemble,9,0.6606232680427813,0.10867278795152241
DEA,0.8,Calibrated,9,0.781319134042114,0.13339595909393434
DEA,0.8,Raw ensemble,10,0.6861337140827655,0.10897264671242793
DEA,0.8,Calibrated,10,0.8007296544044636,0.13338766355396695
DEA,0.8,Raw ensemble,11,0.718590710671998,0.10695682797751195
DEA,0.8,Calibrated,11,0.7893806914508171,0.1352661463117054
DEA,0.8,Raw ensemble,12,0.6933465297007532,0.11389036969061796
DEA,0.8,Calibrated,12,0.8116041972762296,0.13722800030578497
DEA,0.8,Raw ensemble,13,0.6675651990609436,0.10176509513042287
DEA,0.8,Calibrated,13,0.795950114067373,0.12002471850524335
DEA,0.8,Raw ensemble,14,0.6583860886306332,0.1097916074554238
DEA,0.8,Calibrated,14,0.8052802021010651,0.13726214252706032
DEA,0.8,Raw ensemble,15,0.6893591917239078,0.1105700122425556
DEA,0.8,Calibrated,15,0.7939122897044799,0.13606355245028193
DEA,0.9,Raw ensemble,1,0.7869578678544823,0.13172688660000953
DEA,0.9,Calibrated,1,0.8919487550065818,0.15635011450564884
DEA,0.9,Raw ensemble,2,0.787021224121529,0.13147135343272115
DEA,0.9,Calibrated,2,0.9006885576970574,0.16193060808684176
DEA,0.9,Raw ensemble,3,0.7827621738386275,0.11166965732358347
DEA,0.9,Calibrated,3,0.8978174398685964,0.13161963721383524
DEA,0.9,Raw ensemble,4,0.8044721613582893,0.11981286321255562
DEA,0.9,Calibrated,4,0.890352957124367,0.14506857591084663
DEA,0.9,Raw ensemble,5,0.7757513654655533,0.13204370739165644
DEA,0.9,Calibrated,5,0.9043810456767346,0.15878630054016288
DEA,0.9,Raw ensemble,6,0.7825946667463254,0.13113606086677057
DEA,0.9,Calibrated,6,0.8940024819590926,0.15703439756116075
DEA,0.9,Raw ensemble,7,0.7935214230130576,0.11910676082719075
DEA,0.9,Calibrated,7,0.890604794606284,0.15053368199217146
DEA,0.9,Raw ensemble,8,0.7582740413009762,0.12848255022949331
DEA,0.9,Calibrated,8,0.8982878050321644,0.1623114166384037
DEA,0.9,Raw ensemble,9,0.7780317665917925,0.1262168765054534
DEA,0.9,Calibrated,9,0.8924545344723845,0.15306267811060598
DEA,0.9,Raw ensemble,10,0.7516898090683394,0.13058593393166945
DEA,0.9,Calibrated,10,0.9081600374004389,0.16505503304366098
DEA,0.9,Raw ensemble,11,0.7666789705192353,0.12600408816818154
DEA,0.9,Calibrated,11,0.9097168371911957,0.15472836725882094
DEA,0.9,Raw ensemble,12,0.7716410203667144,0.12933778711118304
DEA,0.9,Calibrated,12,0.890953269849366,0.15601384140958482
DEA,0.9,Raw ensemble,13,0.7793144642533003,0.12065456022067853
DEA,0.9,Calibrated,13,0.9024978499750482,0.15146000657671133
DEA,0.9,Raw ensemble,14,0.794049635422202,0.1206829786423843
DEA,0.9,Calibrated,14,0.9131795414022915,0.15219848704194536
DEA,0.9,Raw ensemble,15,0.7757316503229674,0.12671387060555409
DEA,0.9,Calibrated,15,0.900146343068471,0.15738985895055496
DEA,0.95,Raw ensemble,1,0.8135433350291886,0.13190820608766968
DEA,0.95,Calibrated,1,0.9502464435130105,0.16372162698463652
DEA,0.95,Raw ensemble,2,0.8488601425431576,0.12701954003619398
DEA,0.95,Calibrated,2,0.9583020765494172,0.15051354465412586
DEA,0.95,Raw ensemble,3,0.846782258156386,0.12342520176407869
DEA,0.95,Calibrated,3,0.9473886049140842,0.1480051352390466
DEA,0.95,Raw ensemble,4,0.8306706780623634,0.13245970766367973
DEA,0.95,Calibrated,4,0.9407530633272291,0.16814457731865914
DEA,0.95,Raw ensemble,5,0.8591466286990148,0.12980531966757763
DEA,0.95,Calibrated,5,0.9397327917608008,0.16687907498909416
DEA,0.95,Raw ensemble,6,0.7999641554469195,0.1311988960713374
DEA,0.95,Calibrated,6,0.9679331807413668,0.16146711146474885
DEA,0.95,Raw ensemble,7,0.8611057866858394,0.13716310967533563
DEA,0.95,Calibrated,7,0.9676319316935701,0.16783838495008777
DEA,0.95,Raw ensemble,8,0.8240844376544667,0.12615759338922133
DEA,0.95,Calibrated,8,0.9408427897087143,0.1504789355135434
DEA,0.95,Raw ensemble,9,0.8350990432809252,0.13004201366836113
DEA,0.95,Calibrated,9,0.9424817524148273,0.16637746188317662
DEA,0.95,Raw ensemble,10,0.8302468443572176,0.12957701850528042
DEA,0.95,Calibrated,10,0.9467194517921793,0.15527826340495665
DEA,0.95,Raw ensemble,11,0.7978950822422062,0.13502267167472065
DEA,0.95,Calibrated,11,0.9555602788276858,0.15971652629061697
DEA,0.95,Raw ensemble,12,0.8550068145962936,0.13321391995158152
DEA,0.95,Calibrated,12,0.9449281933372939,0.16248944768682738
DEA,0.95,Raw ensemble,13,0.8429248113645897,0.12805839068886096
DEA,0.95,Calibrated,13,0.9380852048019529,0.15017327824542517
DEA,0.95,Raw ensemble,14,0.836204138085996,0.1301117443163789
DEA,0.95,Calibrated,14,0.944058910919737,0.1589511690250385
DEA,0.95,Raw ensemble,15,0.8385623496169011,0.12724393006847456
DEA,0.95,Calibrated,15,0.9576394832373533,0.15378784400952905
MRC,0.8,Raw ensemble,1,0.6830964667692735,0.10949137600897894
MRC,0.8,Calibrated,1,0.7935080626918358,0.13241638416097012
MRC,0.8,Raw ensemble,2,0.6867384047921912,0.10572108716662365
MRC,0.8,Calibrated,2,0.7992455031026701,0.12279039063379524
MRC,0.8,Raw ensemble,3,0.6920448156233642,0.11047171200530222
MRC,0.8,Calibrated,3,0.804348525257962,0.14158851248564933
MRC,0.8,Raw ensemble,4,0.7087873281687801,0.10817731786876733
MRC,0.8,Calibrated,4,0.8037417026369511,0.13512834382533287
MRC,0.8,Raw ensemble,5,0.6881535148724078,0.11330439134458486
MRC,0.8,Calibrated,5,0.797601148585466,0.14500163381867653
MRC,0.8,Raw ensemble,6,0.6733874073401338,0.10862967159354511
MRC,0.8,Calibrated,6,0.7979582827173466,0.1377618982061566
MRC,0.8,Raw ensemble,7,0.6709569652017365,0.10378749436902206
MRC,0.8,Calibrated,7,0.8003473988409623,0.1314318895092051
MRC,0.8,Raw ensemble,8,0.6768658202357644,0.1126346429875304
MRC,0.8,Calibrated,8,0.8054198149600468,0.1375700156739309
MRC,0.8,Raw ensemble,9,0.6875168510378983,0.11765148595786673
MRC,0.8,Calibrated,9,0.7773853006902596,0.15127830052428493
MRC,0.8,Raw ensemble,10,0.6684394514926172,0.1169374669135725
MRC,0.8,Calibrated,10,0.8123662060238614,0.14148578170311896
MRC,0.8,Raw ensemble,11,0.6794460613982617,0.1168322518372954
MRC,0.8,Calibrated,11,0.7890452252972671,0.14336354646725524
MRC,0.8,Raw ensemble,12,0.689994441556252,0.1089664938524803
MRC,0.8,Calibrated,12,0.801607890177336,0.1345962216008917
MRC,0.8,Raw ensemble,13,0.681486710176783,0.1027920327234306
MRC,0.8,Calibrated,13,0.7983499987745986,0.12440493361496584
MRC,0.8,Raw ensemble,14,0.6816228446605918,0.10645374553268581
MRC,0.8,Calibrated,14,0.8013795947053753,0.13449227485358822
MRC,0.8,Raw ensemble,15,0.668019200375426,0.1098370575011528
MRC,0.8,Calibrated,15,0.7936428062898674,0.13290286293332848
MRC,0.9,Raw ensemble,1,0.7796589486665758,0.13363022371121838
MRC,0.9,Calibrated,1,0.8984166778260148,0.16527652213209856
